DATE-YMD,OTHR= ICOADS scalar Windspeed (m/s),
1980-04-15,       5.509,
1980-05-15,       5.602,
1980-06-15,       6.025,
1980-07-15,       6.424,
1980-08-15,       6.977,
1980-09-15,       6.012,
1980-10-15,       6.852,
1980-11-15,       6.710,
1980-12-15,       7.034,
1981-01-15,       6.615,
1981-02-15,       6.978,
1981-03-15,       6.417,
1981-04-15,       6.245,
1981-05-15,       6.194,
1981-06-15,       5.655,
1981-07-15,       7.310,
1981-08-15,       5.624,
1981-09-15,       7.400,
1981-10-15,       6.189,
1981-11-15,       6.451,
1981-12-15,       6.805,
1982-01-15,       7.284,
1982-02-15,       6.338,
1982-03-15,       6.336,
1982-04-15,       4.823,
1982-05-15,       5.218,
1982-06-15,       6.185,
1982-07-15,       6.491,
1982-08-15,       6.473,
1982-09-15,       4.887,
1982-10-15,       4.017,
1982-11-15,       4.437,
1982-12-15,       5.227,
1983-01-15,       6.505,
1983-02-15,       5.984,
1983-03-15,       6.223,
1983-04-15,       5.723,
1983-05-15,       5.237,
1983-06-15,       5.074,
1983-07-15,       5.837,
1983-08-15,       5.994,
1983-09-15,       6.190,
1983-10-15,       6.146,
1983-11-15,       6.177,
1983-12-15,       6.048,
1984-01-15,       6.596,
1984-02-15,       5.659,
1984-03-15,       6.766,
1984-04-15,       5.941,
1984-05-15,       5.073,
1984-06-15,       6.026,
1984-07-15,       5.788,
1984-08-15,       6.612,
1984-09-15,       5.791,
1984-10-15,       7.172,
1984-11-15,       6.334,
1984-12-15,       7.198,
1985-01-15,       6.602,
1985-02-15,       7.391,
1985-03-15,       6.050,
1985-04-15,       6.044,
1985-05-15,       6.576,
1985-06-15,       6.175,
1985-07-15,       6.693,
1985-08-15,       6.942,
1985-09-15,       6.512,
1985-10-15,       6.138,
1985-11-15,       6.769,
1985-12-15,       7.020,
1986-01-15,       7.539,
1986-02-15,       5.717,
1986-03-15,       6.610,
1986-04-15,       5.568,
1986-05-15,       4.695,
1986-06-15,       7.001,
1986-07-15,       5.824,
1986-08-15,       6.598,
1986-09-15,       5.919,
1986-10-15,       6.088,
1986-11-15,       5.631,
1986-12-15,       6.555,
1987-01-15,       7.307,
1987-02-15,       6.302,
1987-03-15,       5.095,
1987-04-15,       5.808,
1987-05-15,       4.942,
1987-06-15,       5.645,
1987-07-15,       5.313,
1987-08-15,       5.551,
1987-09-15,       5.685,
1987-10-15,       5.863,
1987-11-15,       6.196,
1987-12-15,       6.838,
1988-01-15,       7.119,
1988-02-15,       7.105,
1988-03-15,       7.040,
1988-04-15,       5.813,
1988-05-15,       7.049,
1988-06-15,       6.382,
1988-07-15,       8.000,
1988-08-15,       6.842,
1988-09-15,       7.637,
1988-10-15,       7.550,
1988-11-15,       6.529,
1988-12-15,       7.343,
1989-01-15,       7.408,
1989-02-15,       6.995,
1989-03-15,       6.682,
1989-04-15,       6.431,
1989-05-15,       6.825,
1989-06-15,       6.402,
1989-07-15,       8.286,
1989-08-15,       7.133,
1989-09-15,       6.380,
1989-10-15,       7.623,
1989-11-15,       7.540,
1989-12-15,       6.690,
1990-01-15,       8.015,
1990-02-15,       7.460,
1990-03-15,       7.320,
1990-04-15,       5.988,
1990-05-15,       5.878,
1990-06-15,       6.341,
1990-07-15,       6.115,
